speedtype|depID|Fund
131710|A697380101|53800
149995|A697380124|53800
131713|A697380104|53800
131716|A697380107|53800
131717|A697380108|53800
131720|A697380111|53800
131721|A697380112|53800
131722|A697380113|53800
131724|A697380115|53800
131728|A697380119|53800
131729|A697380120|53800
131730|A697380121|53800
138960|A697380123|53800
158388|A697380125|53800
111859|A697300000|53500
105133|A697301000|51342
191044|A697334000|51342
